Risk factor,Linked disease,Age group,Year,Sex,Attributable deaths,Attributable YLL,Attributable YLD,Attributable DALY
Amphetamine use,Road traffic injuries - motor vehicle occupants,85+,2011,Persons,0.1,0.7,0.4,1.1
Amphetamine use,Road traffic injuries - motor vehicle occupants,85+,2015,Females,0,0.3,0.2,0.5
Amphetamine use,Road traffic injuries - motor vehicle occupants,85+,2015,Males,0.1,0.7,0.3,1
Amphetamine use,Road traffic injuries - motor vehicle occupants,85+,2015,Persons,0.2,1,0.5,1.5
Amphetamine use,Road traffic injuries - motor vehicle occupants,85+,2018,Females,0,0.1,0.2,0.3
Amphetamine use,Road traffic injuries - motor vehicle occupants,85+,2018,Males,0.1,0.6,0.2,0.8
Amphetamine use,Road traffic injuries - motor vehicle occupants,85+,2018,Persons,0.1,0.7,0.4,1.1
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2003,Females,0.3,17.7,2.2,19.9
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2003,Males,2.8,183.3,35.7,219
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2003,Persons,3.1,201.1,37.8,238.9
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2011,Females,0.1,4.6,1.6,6.2
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2011,Males,2.1,138.2,25.5,163.7
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2011,Persons,2.2,142.9,27.1,170
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2015,Females,0,2.7,1,3.8
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2015,Males,1.2,81,19.3,100.3
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2015,Persons,1.3,83.8,20.3,104.1
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2018,Females,0,0,1.1,1.1
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2018,Males,0.9,60.3,18.3,78.5
Amphetamine use,Road traffic injuries - motorcyclists,15–24,2018,Persons,0.9,60.3,19.3,79.6
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2003,Females,0.2,9.6,1.6,11.2
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2003,Males,6.1,348.6,52.8,401.4
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2003,Persons,6.3,358.3,54.4,412.6
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2011,Females,0.1,5.8,1.3,7.1
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2011,Males,2.1,123.4,36.9,160.3
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2011,Persons,2.2,129.2,38.2,167.4
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2015,Females,0,2,1,3
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2015,Males,1.6,92.7,19.9,112.6
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2015,Persons,1.7,94.7,20.9,115.6
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2018,Females,0,2.1,0.8,2.9
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2018,Males,1.2,67.2,21.8,88.9
Amphetamine use,Road traffic injuries - motorcyclists,25–34,2018,Persons,1.2,69.2,22.6,91.9
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2003,Females,0.1,2.5,0.8,3.3
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2003,Males,2.7,129.3,25.9,155.2
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2003,Persons,2.8,131.8,26.7,158.5
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2011,Females,0.1,2.6,0.8,3.4
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2011,Males,2.4,112.9,23.1,136
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2011,Persons,2.4,115.5,23.9,139.4
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2015,Females,0,1.6,0.6,2.2
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2015,Males,1.1,49.9,14.5,64.4
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2015,Persons,1.1,51.5,15.1,66.7
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2018,Females,0,0.6,0.5,1.1
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2018,Males,1.1,49.9,16,65.8
Amphetamine use,Road traffic injuries - motorcyclists,35–44,2018,Persons,1.1,50.5,16.5,67
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2003,Females,0,0.6,0.2,0.9
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2003,Males,0.5,21,4.5,25.4
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2003,Persons,0.6,21.6,4.7,26.3
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2011,Females,0,1.5,0.3,1.9
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2011,Males,1,37.1,14.1,51.1
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2011,Persons,1,38.6,14.4,53
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2015,Females,0,1.4,0.3,1.6
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2015,Males,1.3,47.7,13.5,61.2
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2015,Persons,1.3,49.1,13.7,62.8
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2018,Females,0,0.2,0.3,0.6
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2018,Males,1,36.5,14,50.6
Amphetamine use,Road traffic injuries - motorcyclists,45–54,2018,Persons,1,36.8,14.4,51.2
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2003,Females,0,0,0,0.1
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2003,Males,0,1.2,0.4,1.6
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2003,Persons,0,1.3,0.4,1.7
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2011,Females,0,0.2,0.1,0.3
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2011,Males,0.4,10.5,5.6,16.1
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2011,Persons,0.4,10.7,5.7,16.4
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2015,Females,0,0.2,0.1,0.3
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2015,Males,0.4,11,8.5,19.5
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2015,Persons,0.4,11.1,8.6,19.7
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2018,Females,0,0.1,0.1,0.2
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2018,Males,0.7,18.4,8.9,27.3
Amphetamine use,Road traffic injuries - motorcyclists,55–64,2018,Persons,0.7,18.5,9,27.5
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2003,Females,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2003,Males,0,0.3,0.1,0.4
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2003,Persons,0,0.3,0.1,0.4
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2011,Females,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2011,Males,0,0.7,0.3,1.1
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2011,Persons,0,0.7,0.3,1.1
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2015,Females,0,0,0,0.1
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2015,Males,0.1,1.2,0.6,1.8
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2015,Persons,0.1,1.3,0.6,1.9
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2018,Females,0,0,0,0.1
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2018,Males,0.1,2.2,0.8,3
Amphetamine use,Road traffic injuries - motorcyclists,65–84,2018,Persons,0.1,2.2,0.8,3
Amphetamine use,Road traffic injuries - motorcyclists,85+,2003,Females,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,85+,2003,Males,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,85+,2003,Persons,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,85+,2011,Females,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,85+,2011,Males,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,85+,2011,Persons,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,85+,2015,Females,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,85+,2015,Males,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,85+,2015,Persons,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,85+,2018,Females,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,85+,2018,Males,0,0,0,0
Amphetamine use,Road traffic injuries - motorcyclists,85+,2018,Persons,0,0,0,0
Amphetamine use,Suicide and self-inflicted injuries,15–24,2003,Females,1,63.5,2.3,65.7
Amphetamine use,Suicide and self-inflicted injuries,15–24,2003,Males,12.2,804.9,4.4,809.3
Amphetamine use,Suicide and self-inflicted injuries,15–24,2003,Persons,13.2,868.4,6.7,875.1
Amphetamine use,Suicide and self-inflicted injuries,15–24,2011,Females,1.5,98.8,2.5,101.2
Amphetamine use,Suicide and self-inflicted injuries,15–24,2011,Males,10.5,688.9,4.3,693.2
Amphetamine use,Suicide and self-inflicted injuries,15–24,2011,Persons,12,787.7,6.7,794.4
Amphetamine use,Suicide and self-inflicted injuries,15–24,2015,Females,3.4,219.9,5.9,225.8
Amphetamine use,Suicide and self-inflicted injuries,15–24,2015,Males,17.4,1130.9,5.9,1136.8
Amphetamine use,Suicide and self-inflicted injuries,15–24,2015,Persons,20.8,1350.8,11.8,1362.6
Amphetamine use,Suicide and self-inflicted injuries,15–24,2018,Females,3.5,230.9,7.3,238.2
Amphetamine use,Suicide and self-inflicted injuries,15–24,2018,Males,17.7,1151.2,5.9,1157.1
Amphetamine use,Suicide and self-inflicted injuries,15–24,2018,Persons,21.2,1382.1,13.2,1395.4
Amphetamine use,Suicide and self-inflicted injuries,25–34,2003,Females,2.6,145.7,3.5,149.1
Amphetamine use,Suicide and self-inflicted injuries,25–34,2003,Males,24.9,1408.8,9.8,1418.5
Amphetamine use,Suicide and self-inflicted injuries,25–34,2003,Persons,27.5,1554.4,13.2,1567.7
Amphetamine use,Suicide and self-inflicted injuries,25–34,2011,Females,2,111.6,3.8,115.4
Amphetamine use,Suicide and self-inflicted injuries,25–34,2011,Males,21.3,1209.8,9.6,1219.4
Amphetamine use,Suicide and self-inflicted injuries,25–34,2011,Persons,23.2,1321.4,13.4,1334.7
Amphetamine use,Suicide and self-inflicted injuries,25–34,2015,Females,5.6,321.2,7.5,328.7
Amphetamine use,Suicide and self-inflicted injuries,25–34,2015,Males,37.3,2128.8,11.6,2140.4
Amphetamine use,Suicide and self-inflicted injuries,25–34,2015,Persons,43,2450.1,19,2469.1
Amphetamine use,Suicide and self-inflicted injuries,25–34,2018,Females,8.5,488.6,10,498.6
Amphetamine use,Suicide and self-inflicted injuries,25–34,2018,Males,45.1,2561.8,14,2575.8
Amphetamine use,Suicide and self-inflicted injuries,25–34,2018,Persons,53.7,3050.3,24,3074.4
Amphetamine use,Suicide and self-inflicted injuries,35–44,2003,Females,0.9,42.7,1.1,43.9
Amphetamine use,Suicide and self-inflicted injuries,35–44,2003,Males,8.7,410.5,3.1,413.6
Amphetamine use,Suicide and self-inflicted injuries,35–44,2003,Persons,9.6,453.3,4.2,457.5
Amphetamine use,Suicide and self-inflicted injuries,35–44,2011,Females,1.8,86.8,2.1,88.9
Amphetamine use,Suicide and self-inflicted injuries,35–44,2011,Males,14.1,665.7,5.4,671.2
Amphetamine use,Suicide and self-inflicted injuries,35–44,2011,Persons,15.9,752.5,7.6,760.1
Amphetamine use,Suicide and self-inflicted injuries,35–44,2015,Females,4.4,211.5,3.9,215.4
Amphetamine use,Suicide and self-inflicted injuries,35–44,2015,Males,27.9,1323.4,7.4,1330.8
Amphetamine use,Suicide and self-inflicted injuries,35–44,2015,Persons,32.4,1535,11.2,1546.2
Amphetamine use,Suicide and self-inflicted injuries,35–44,2018,Females,7,333.7,5.9,339.6
Amphetamine use,Suicide and self-inflicted injuries,35–44,2018,Males,40.3,1911.9,11.1,1922.9
Amphetamine use,Suicide and self-inflicted injuries,35–44,2018,Persons,47.3,2245.6,17,2262.5
Amphetamine use,Suicide and self-inflicted injuries,45–54,2003,Females,0.1,4.8,0.1,5
Amphetamine use,Suicide and self-inflicted injuries,45–54,2003,Males,1.1,40.7,0.2,40.9
Amphetamine use,Suicide and self-inflicted injuries,45–54,2003,Persons,1.2,45.5,0.3,45.9
Amphetamine use,Suicide and self-inflicted injuries,45–54,2011,Females,0.4,15.8,0.4,16.2
Amphetamine use,Suicide and self-inflicted injuries,45–54,2011,Males,3.7,138.4,0.8,139.2
Amphetamine use,Suicide and self-inflicted injuries,45–54,2011,Persons,4.1,154.3,1.1,155.4
Amphetamine use,Suicide and self-inflicted injuries,45–54,2015,Females,1.3,51.3,0.7,52
Amphetamine use,Suicide and self-inflicted injuries,45–54,2015,Males,9.1,352.6,1.6,354.2
Amphetamine use,Suicide and self-inflicted injuries,45–54,2015,Persons,10.4,403.9,2.3,406.2
Amphetamine use,Suicide and self-inflicted injuries,45–54,2018,Females,2.1,79.8,1.4,81.2
Amphetamine use,Suicide and self-inflicted injuries,45–54,2018,Males,16.9,650.6,2.8,653.4
Amphetamine use,Suicide and self-inflicted injuries,45–54,2018,Persons,18.9,730.4,4.2,734.6
Amphetamine use,Suicide and self-inflicted injuries,55–64,2003,Females,0,0.9,0,1
Amphetamine use,Suicide and self-inflicted injuries,55–64,2003,Males,0.2,6.9,0,6.9
Amphetamine use,Suicide and self-inflicted injuries,55–64,2003,Persons,0.3,7.8,0.1,7.9
Amphetamine use,Suicide and self-inflicted injuries,55–64,2011,Females,0.2,6,0.1,6.1
Amphetamine use,Suicide and self-inflicted injuries,55–64,2011,Males,1.4,40.6,0.3,40.8
Amphetamine use,Suicide and self-inflicted injuries,55–64,2011,Persons,1.6,46.6,0.4,47
Amphetamine use,Suicide and self-inflicted injuries,55–64,2015,Females,0.1,2.7,0,2.7
Amphetamine use,Suicide and self-inflicted injuries,55–64,2015,Males,0.7,20,0.1,20.2
Amphetamine use,Suicide and self-inflicted injuries,55–64,2015,Persons,0.8,22.7,0.2,22.9
Amphetamine use,Suicide and self-inflicted injuries,55–64,2018,Females,0.2,6.2,0.1,6.3
Amphetamine use,Suicide and self-inflicted injuries,55–64,2018,Males,2.3,68.1,0.3,68.4
Amphetamine use,Suicide and self-inflicted injuries,55–64,2018,Persons,2.5,74.2,0.4,74.7
Amphetamine use,Suicide and self-inflicted injuries,65–84,2003,Females,0,0.1,0,0.1
Amphetamine use,Suicide and self-inflicted injuries,65–84,2003,Males,0.1,1,0,1
Amphetamine use,Suicide and self-inflicted injuries,65–84,2003,Persons,0.1,1.2,0,1.2
Amphetamine use,Suicide and self-inflicted injuries,65–84,2011,Females,0,0.8,0,0.8
Amphetamine use,Suicide and self-inflicted injuries,65–84,2011,Males,0.5,8.3,0.1,8.4
Amphetamine use,Suicide and self-inflicted injuries,65–84,2011,Persons,0.5,9.1,0.1,9.2
Amphetamine use,Suicide and self-inflicted injuries,65–84,2015,Females,0.1,0.9,0,1
Amphetamine use,Suicide and self-inflicted injuries,65–84,2015,Males,0.3,5.8,0,5.8
Amphetamine use,Suicide and self-inflicted injuries,65–84,2015,Persons,0.4,6.7,0,6.7
Amphetamine use,Suicide and self-inflicted injuries,65–84,2018,Females,0.2,2.9,0,2.9
Amphetamine use,Suicide and self-inflicted injuries,65–84,2018,Males,0.9,15.8,0.1,15.9
Amphetamine use,Suicide and self-inflicted injuries,65–84,2018,Persons,1.1,18.7,0.1,18.8
Amphetamine use,Suicide and self-inflicted injuries,85+,2003,Females,0,0,0,0
Amphetamine use,Suicide and self-inflicted injuries,85+,2003,Males,0,0,0,0
Amphetamine use,Suicide and self-inflicted injuries,85+,2003,Persons,0,0,0,0
Amphetamine use,Suicide and self-inflicted injuries,85+,2011,Females,0,0,0,0
Amphetamine use,Suicide and self-inflicted injuries,85+,2011,Males,0,0.2,0,0.2
Amphetamine use,Suicide and self-inflicted injuries,85+,2011,Persons,0,0.2,0,0.2
Amphetamine use,Suicide and self-inflicted injuries,85+,2015,Females,0,0,0,0
Amphetamine use,Suicide and self-inflicted injuries,85+,2015,Males,0.1,0.3,0,0.3
Amphetamine use,Suicide and self-inflicted injuries,85+,2015,Persons,0.1,0.3,0,0.3
Amphetamine use,Suicide and self-inflicted injuries,85+,2018,Females,0,0,0,0
Amphetamine use,Suicide and self-inflicted injuries,85+,2018,Males,0.2,0.9,0,0.9
Amphetamine use,Suicide and self-inflicted injuries,85+,2018,Persons,0.2,0.9,0,0.9
Bullying victimisation,Anxiety disorders,15–24,2003,Females,0,0,966.3,966.3
Bullying victimisation,Anxiety disorders,15–24,2003,Males,0,0,472.4,472.4
Bullying victimisation,Anxiety disorders,15–24,2003,Persons,0,0,1438.8,1438.8
Bullying victimisation,Anxiety disorders,15–24,2011,Females,0,0,1099.5,1099.5
Bullying victimisation,Anxiety disorders,15–24,2011,Males,0,0,539.1,539.1
Bullying victimisation,Anxiety disorders,15–24,2011,Persons,0,0,1638.6,1638.6
Bullying victimisation,Anxiety disorders,15–24,2015,Females,0,0,1132.7,1132.7
Bullying victimisation,Anxiety disorders,15–24,2015,Males,0,0,553.1,553.1
Bullying victimisation,Anxiety disorders,15–24,2015,Persons,0,0,1685.8,1685.8
Bullying victimisation,Anxiety disorders,15–24,2018,Females,0,0,1164.9,1164.9
Bullying victimisation,Anxiety disorders,15–24,2018,Males,0,0,569.3,569.3
Bullying victimisation,Anxiety disorders,15–24,2018,Persons,0,0,1734.2,1734.2
Bullying victimisation,Anxiety disorders,Under 15,2003,Females,0,0,236.5,236.5
Bullying victimisation,Anxiety disorders,Under 15,2003,Males,0,0,240,240
Bullying victimisation,Anxiety disorders,Under 15,2003,Persons,0,0,476.5,476.5
Bullying victimisation,Anxiety disorders,Under 15,2011,Females,0,0,239.9,239.9
Bullying victimisation,Anxiety disorders,Under 15,2011,Males,0,0,243.4,243.4
Bullying victimisation,Anxiety disorders,Under 15,2011,Persons,0,0,483.3,483.3
Bullying victimisation,Anxiety disorders,Under 15,2015,Females,0,0,243.1,243.1
Bullying victimisation,Anxiety disorders,Under 15,2015,Males,0,0,247.7,247.7
Bullying victimisation,Anxiety disorders,Under 15,2015,Persons,0,0,490.7,490.7
Bullying victimisation,Anxiety disorders,Under 15,2018,Females,0,0,261.5,261.5
Bullying victimisation,Anxiety disorders,Under 15,2018,Males,0,0,265.9,265.9
Bullying victimisation,Anxiety disorders,Under 15,2018,Persons,0,0,527.4,527.4
Bullying victimisation,Depressive disorders,15–24,2003,Females,0,0,1065.7,1065.7
Bullying victimisation,Depressive disorders,15–24,2003,Males,0,0,763.3,763.3
Bullying victimisation,Depressive disorders,15–24,2003,Persons,0,0,1829,1829
Bullying victimisation,Depressive disorders,15–24,2011,Females,0,0,1204.3,1204.3
Bullying victimisation,Depressive disorders,15–24,2011,Males,0,0,874.4,874.4
Bullying victimisation,Depressive disorders,15–24,2011,Persons,0,0,2078.8,2078.8
Bullying victimisation,Depressive disorders,15–24,2015,Females,0,0,1236.6,1236.6
Bullying victimisation,Depressive disorders,15–24,2015,Males,0,0,898.4,898.4
Bullying victimisation,Depressive disorders,15–24,2015,Persons,0,0,2135,2135
Bullying victimisation,Depressive disorders,15–24,2018,Females,0,0,1272,1272
Bullying victimisation,Depressive disorders,15–24,2018,Males,0,0,924.8,924.8
Bullying victimisation,Depressive disorders,15–24,2018,Persons,0,0,2196.8,2196.8
Bullying victimisation,Depressive disorders,Under 15,2003,Females,0,0,369.8,369.8
Bullying victimisation,Depressive disorders,Under 15,2003,Males,0,0,306,306
Bullying victimisation,Depressive disorders,Under 15,2003,Persons,0,0,675.8,675.8
Bullying victimisation,Depressive disorders,Under 15,2011,Females,0,0,375.9,375.9
Bullying victimisation,Depressive disorders,Under 15,2011,Males,0,0,310.8,310.8
Bullying victimisation,Depressive disorders,Under 15,2011,Persons,0,0,686.7,686.7
Bullying victimisation,Depressive disorders,Under 15,2015,Females,0,0,380.3,380.3
Bullying victimisation,Depressive disorders,Under 15,2015,Males,0,0,316,316
Bullying victimisation,Depressive disorders,Under 15,2015,Persons,0,0,696.3,696.3
Bullying victimisation,Depressive disorders,Under 15,2018,Females,0,0,409.8,409.8
Bullying victimisation,Depressive disorders,Under 15,2018,Males,0,0,339,339
Bullying victimisation,Depressive disorders,Under 15,2018,Persons,0,0,748.8,748.8
Cannabis use,Anxiety disorders,15–24,2003,Females,0,0,142.2,142.2
Cannabis use,Anxiety disorders,15–24,2003,Males,0,0,120,120
Cannabis use,Anxiety disorders,15–24,2003,Persons,0,0,262.1,262.1
Cannabis use,Anxiety disorders,15–24,2011,Females,0,0,125.2,125.2
Cannabis use,Anxiety disorders,15–24,2011,Males,0,0,107.9,107.9
Cannabis use,Anxiety disorders,15–24,2011,Persons,0,0,233.2,233.2
Cannabis use,Anxiety disorders,15–24,2015,Females,0,0,138.6,138.6
Cannabis use,Anxiety disorders,15–24,2015,Males,0,0,116.9,116.9
Cannabis use,Anxiety disorders,15–24,2015,Persons,0,0,255.5,255.5
Cannabis use,Anxiety disorders,15–24,2018,Females,0,0,154.1,154.1
Cannabis use,Anxiety disorders,15–24,2018,Males,0,0,128.5,128.5
Cannabis use,Anxiety disorders,15–24,2018,Persons,0,0,282.6,282.6
Cannabis use,Anxiety disorders,25–34,2003,Females,0,0,107.5,107.5
Cannabis use,Anxiety disorders,25–34,2003,Males,0,0,130.2,130.2
Cannabis use,Anxiety disorders,25–34,2003,Persons,0,0,237.6,237.6
Cannabis use,Anxiety disorders,25–34,2011,Females,0,0,96.3,96.3
Cannabis use,Anxiety disorders,25–34,2011,Males,0,0,119.3,119.3
Cannabis use,Anxiety disorders,25–34,2011,Persons,0,0,215.6,215.6
Cannabis use,Anxiety disorders,25–34,2015,Females,0,0,113.8,113.8
Cannabis use,Anxiety disorders,25–34,2015,Males,0,0,140.6,140.6
Cannabis use,Anxiety disorders,25–34,2015,Persons,0,0,254.4,254.4
Cannabis use,Anxiety disorders,25–34,2018,Females,0,0,130.7,130.7
Cannabis use,Anxiety disorders,25–34,2018,Males,0,0,161.2,161.2
Cannabis use,Anxiety disorders,25–34,2018,Persons,0,0,291.8,291.8
Cannabis use,Anxiety disorders,35–44,2003,Females,0,0,57.6,57.6
Cannabis use,Anxiety disorders,35–44,2003,Males,0,0,85.2,85.2
Cannabis use,Anxiety disorders,35–44,2003,Persons,0,0,142.8,142.8
Cannabis use,Anxiety disorders,35–44,2011,Females,0,0,53.2,53.2
Cannabis use,Anxiety disorders,35–44,2011,Males,0,0,75.9,75.9
Cannabis use,Anxiety disorders,35–44,2011,Persons,0,0,129.1,129.1
Cannabis use,Anxiety disorders,35–44,2015,Females,0,0,56.2,56.2
Cannabis use,Anxiety disorders,35–44,2015,Males,0,0,81.6,81.6
Cannabis use,Anxiety disorders,35–44,2015,Persons,0,0,137.8,137.8
Cannabis use,Anxiety disorders,35–44,2018,Females,0,0,61.2,61.2
Cannabis use,Anxiety disorders,35–44,2018,Males,0,0,89.9,89.9
Cannabis use,Anxiety disorders,35–44,2018,Persons,0,0,151.1,151.1
Cannabis use,Anxiety disorders,45–54,2003,Females,0,0,24.9,24.9
Cannabis use,Anxiety disorders,45–54,2003,Males,0,0,38.3,38.3
Cannabis use,Anxiety disorders,45–54,2003,Persons,0,0,63.2,63.2
Cannabis use,Anxiety disorders,45–54,2011,Females,0,0,24.1,24.1
Cannabis use,Anxiety disorders,45–54,2011,Males,0,0,36.5,36.5
Cannabis use,Anxiety disorders,45–54,2011,Persons,0,0,60.6,60.6
Cannabis use,Anxiety disorders,45–54,2015,Females,0,0,25.6,25.6
Cannabis use,Anxiety disorders,45–54,2015,Males,0,0.2,38.5,38.7
Cannabis use,Anxiety disorders,45–54,2015,Persons,0,0.2,64.1,64.3
Cannabis use,Anxiety disorders,45–54,2018,Females,0,0,27.6,27.6
Cannabis use,Anxiety disorders,45–54,2018,Males,0,0,41.7,41.7
Cannabis use,Anxiety disorders,45–54,2018,Persons,0,0,69.3,69.3
Cannabis use,Anxiety disorders,55–64,2003,Females,0,0,5.7,5.7
Cannabis use,Anxiety disorders,55–64,2003,Males,0,0,7.5,7.5
Cannabis use,Anxiety disorders,55–64,2003,Persons,0,0,13.2,13.2
Cannabis use,Anxiety disorders,55–64,2011,Females,0,0,6.5,6.5
Cannabis use,Anxiety disorders,55–64,2011,Males,0,0,8.5,8.5
Cannabis use,Anxiety disorders,55–64,2011,Persons,0,0,15,15
Cannabis use,Anxiety disorders,55–64,2015,Females,0,0,7.2,7.2
Cannabis use,Anxiety disorders,55–64,2015,Males,0,0,9.1,9.1
Cannabis use,Anxiety disorders,55–64,2015,Persons,0,0,16.2,16.2
Cannabis use,Anxiety disorders,55–64,2018,Females,0,0,7.8,7.8
Cannabis use,Anxiety disorders,55–64,2018,Males,0,0,9.8,9.8
Cannabis use,Anxiety disorders,55–64,2018,Persons,0,0,17.5,17.5
Cannabis use,Anxiety disorders,65–84,2003,Females,0,0,1.2,1.2
Cannabis use,Anxiety disorders,65–84,2003,Males,0,0,1.9,1.9
Cannabis use,Anxiety disorders,65–84,2003,Persons,0,0,3.1,3.1
Cannabis use,Anxiety disorders,65–84,2011,Females,0,0,1.4,1.4
Cannabis use,Anxiety disorders,65–84,2011,Males,0,0,2.3,2.3
Cannabis use,Anxiety disorders,65–84,2011,Persons,0,0,3.7,3.7
Cannabis use,Anxiety disorders,65–84,2015,Females,0,0,1.7,1.7
Cannabis use,Anxiety disorders,65–84,2015,Males,0,0,2.7,2.8
Cannabis use,Anxiety disorders,65–84,2015,Persons,0,0,4.4,4.5
Cannabis use,Anxiety disorders,65–84,2018,Females,0,0,1.9,1.9
Cannabis use,Anxiety disorders,65–84,2018,Males,0,0,3.1,3.1
Cannabis use,Anxiety disorders,65–84,2018,Persons,0,0,5,5
Cannabis use,Anxiety disorders,85+,2003,Females,0,0,0,0
Cannabis use,Anxiety disorders,85+,2003,Males,0,0,0,0
Cannabis use,Anxiety disorders,85+,2003,Persons,0,0,0.1,0.1
Cannabis use,Anxiety disorders,85+,2011,Females,0,0,0.1,0.1
Cannabis use,Anxiety disorders,85+,2011,Males,0,0,0,0
Cannabis use,Anxiety disorders,85+,2011,Persons,0,0,0.1,0.1
Cannabis use,Anxiety disorders,85+,2015,Females,0,0,0.1,0.1
Cannabis use,Anxiety disorders,85+,2015,Males,0,0,0.1,0.1
Cannabis use,Anxiety disorders,85+,2015,Persons,0,0,0.1,0.1
Cannabis use,Anxiety disorders,85+,2018,Females,0,0,0.1,0.1
Cannabis use,Anxiety disorders,85+,2018,Males,0,0,0.1,0.1
Cannabis use,Anxiety disorders,85+,2018,Persons,0,0,0.1,0.1
Cannabis use,Depressive disorders,15–24,2003,Females,0,0,103.3,103.3
Cannabis use,Depressive disorders,15–24,2003,Males,0,0,129,129
Cannabis use,Depressive disorders,15–24,2003,Persons,0,0,232.2,232.2
Cannabis use,Depressive disorders,15–24,2011,Females,0,0,90.9,90.9
Cannabis use,Depressive disorders,15–24,2011,Males,0,0,116.2,116.2
Cannabis use,Depressive disorders,15–24,2011,Persons,0,0,207.1,207.1
Cannabis use,Depressive disorders,15–24,2015,Females,0,0,99.9,99.9
Cannabis use,Depressive disorders,15–24,2015,Males,0,0,126.3,126.3
Cannabis use,Depressive disorders,15–24,2015,Persons,0,0,226.3,226.3
Cannabis use,Depressive disorders,15–24,2018,Females,0,0,110.7,110.7
Cannabis use,Depressive disorders,15–24,2018,Males,0,0,139.1,139.1
